appln_id;appln_auth;appln_nr;appln_kind;appln_filing_date;appln_filing_year;appln_nr_epodoc;appln_nr_original;ipr_type;receiving_office;internat_appln_id;int_phase;reg_phase;nat_phase;earliest_filing_date;earliest_filing_year;earliest_filing_id;earliest_publn_date;earliest_publn_year;earliest_pat_publn_id;granted;docdb_family_id;inpadoc_family_id;docdb_family_size;nb_citing_docdb_fam;nb_applicants;nb_inventors
323709042;"KR";"20107010311";"A ";2008-09-26;2008;"KR20107010311";"1020107010311";"PI";"  ";55758786;"Y";"N";"Y";2007-10-12;2007;19126659;2010-08-20;2010;323811531;"Y";39267773;19126659;12;27;1;3
438697575;"BR";"PI0818063";"A ";2008-09-26;2008;"BR2008PI18063";"PI0818063-6";"PI";"  ";55758786;"Y";"N";"Y";2007-10-12;2007;19126659;2015-03-31;2015;438697576;"N";39267773;19126659;12;27;1;3
16335182;"EP";"06726114";"A ";2006-03-21;2006;"EP20060726114";"06726114";"PI";"  ";20934670;"Y";"Y";"N";2005-03-22;2005;19089769;2007-12-05;2007;281047955;"Y";35266731;2744929;13;23;1;2
266971176;"WO";"2009000476";"W ";2009-04-21;2009;"WO2009FR00476";"FR2009/000476";"PI";"FR";0;"Y";"N";"N";2008-04-24;2008;67829;2009-11-19;2009;273549181;"N";40120085;67829;13;13;3;2
445140131;"CN";"201380072190";"A ";2013-12-04;2013;"CN20138072190";"2013800721901";"PI";"  ";413979607;"Y";"N";"Y";2012-12-07;2012;381150530;2015-10-07;2015;445140132;"N";49886962;381150530;16;2;1;2
447002586;"US";"201314648855";"A ";2013-12-04;2013;"US201314648855";"14648855";"PI";"  ";413979607;"Y";"N";"Y";2012-12-07;2012;381150530;2015-12-03;2015;447002587;"Y";49886962;381150530;16;2;1;2
436905429;"KR";"20147029575";"A ";2008-05-07;2008;"KR20147029575";"1020147029575";"PI";"  ";55179915;"Y";"N";"Y";2007-05-07;2007;19130688;2014-11-28;2014;436905430;"N";38820234;19130688;12;10;1;2
55758786;"WO";"2008002563";"W ";2008-09-26;2008;"WO2008IB02563";"IB2008/002563";"PI";"IB";0;"Y";"N";"N";2007-10-12;2007;19126659;2009-04-16;2009;57162222;"N";39267773;19126659;12;27;4;3
57682409;"KR";"20097004967";"A ";2007-08-02;2007;"KR20097004967";"1020097004967";"PI";"  ";20939102;"Y";"N";"Y";2006-08-21;2006;19110797;2009-04-28;2009;278806187;"Y";37663186;19110797;12;15;1;2
412504608;"ES";"07823392";"T ";2007-08-02;2007;"ES20070823392T";"07823392";"PI";"  ";20939102;"Y";"Y";"Y";2006-08-21;2006;19110797;2013-12-02;2013;412504609;"Y";37663186;19110797;12;15;1;2
333252422;"AT";"08845379";"T ";2008-08-14;2008;"AT20080845379T";"08845379";"PI";"  ";56626681;"Y";"Y";"Y";2007-08-31;2007;19125835;2011-04-15;2011;382568139;"Y";39186988;19125835;12;13;1;2
333942646;"AT";"08807192";"T ";2008-09-26;2008;"AT20080807192T";"08807192";"PI";"  ";55758786;"Y";"Y";"Y";2007-10-12;2007;19126659;2011-05-15;2011;382570051;"Y";39267773;19126659;12;27;1;3
